Geneid	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W3Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q5Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W1Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W4Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W5Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q1Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q4Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W2Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q2Aligned.sortedByCoord.out.bam
ENSDARG00000102141	143	118	120	143	104	119	161	129	157
ENSDARG00000102123	680	705	772	770	673	620	896	730	788
ENSDARG00000114503	1622	1609	1841	1890	1526	1391	2075	1803	2053
ENSDARG00000115971	179	133	131	134	94	131	152	136	102
ENSDARG00000098311	415	378	505	458	319	367	358	398	374
ENSDARG00000104839	1176	1232	1265	1375	1128	1020	1393	1198	1022
ENSDARG00000100143	886	850	946	915	734	693	991	900	821
ENSDARG00000102474	653	609	663	697	533	585	724	614	692
ENSDARG00000104049	4180	3946	4402	4890	3906	3615	4933	4249	4763
ENSDARG00000102226	556	558	539	606	477	530	683	568	653
ENSDARG00000103095	3045	3137	3506	3458	2575	2614	3898	3116	3274
ENSDARG00000102128	754	912	1029	1024	799	767	1040	904	911
ENSDARG00000110470	874	900	1026	1052	769	749	1056	886	1005
ENSDARG00000100422	1372	1521	1432	1705	1260	1201	1561	1456	1100
ENSDARG00000104632	281	317	333	395	290	290	335	327	305
ENSDARG00000100660	222	253	283	298	209	205	326	285	225
ENSDARG00000113107	44	42	40	53	33	40	28	40	18
ENSDARG00000099787	91	99	120	128	90	73	132	101	91
ENSDARG00000112451	4	8	5	5	6	9	11	10	8
ENSDARG00000070546	2	9	9	21	11	9	25	22	32
ENSDARG00000045914	3846	4403	4239	4814	3688	3415	5172	4353	4802
ENSDARG00000045913	510	472	579	593	396	451	681	470	655
ENSDARG00000045911	1549	1508	1452	1675	1408	1377	1467	1495	1101
ENSDARG00000045910	1731	1735	1889	2074	1611	1521	2161	1960	1967
ENSDARG00000045909	384	403	462	536	354	358	523	350	368
ENSDARG00000025073	5790	5856	6269	6409	4840	5357	8001	5964	7448
ENSDARG00000084828	3	1	1	2	0	2	0	4	3
ENSDARG00000095951	1	0	1	0	0	0	2	0	0
ENSDARG00000093924	49	33	34	57	46	40	50	64	40
ENSDARG00000108269	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	150	104	165	157	150	139	147	259	125
ENSDARG00000099652	2407	2233	2497	2812	2060	2036	2471	2310	2262
ENSDARG00000101047	947	985	1034	1164	856	953	1163	921	1215
ENSDARG00000102104	102	63	91	122	62	64	101	69	102
ENSDARG00000099833	775	728	853	870	647	703	938	694	937
ENSDARG00000103870	23	28	25	23	21	29	33	17	17
ENSDARG00000096118	460	421	460	580	391	430	612	413	484
ENSDARG00000045900	1176	1286	1362	1319	1244	1135	1465	1360	1150
ENSDARG00000016968	1749	1710	1882	1977	1521	1531	2002	1718	1954
ENSDARG00000102878	4559	4087	4508	5120	3915	3801	4796	4256	4717
ENSDARG00000059311	6258	6908	6627	7239	6088	5897	8222	6549	7184
ENSDARG00000017386	248	220	192	244	217	221	171	169	141
ENSDARG00000045898	16	57	24	22	20	18	105	18	30
ENSDARG00000006060	423	735	625	809	783	710	577	627	426
ENSDARG00000113105	0	0	0	0	0	0	2	0	0
ENSDARG00000103050	48	91	74	119	103	67	96	89	72
ENSDARG00000070535	9	7	6	6	7	2	15	11	7
ENSDARG00000013789	7	17	24	24	22	26	26	16	8
ENSDARG00000063686	176	169	187	206	156	141	191	204	207
ENSDARG00000087962	765	726	860	874	658	689	953	735	893
ENSDARG00000099313	364	344	436	328	316	338	413	369	421
ENSDARG00000103102	17	7	18	25	14	9	17	13	19
ENSDARG00000104018	7329	7015	8044	8473	6174	6508	8832	7046	8481
ENSDARG00000102157	16	26	22	9	21	20	15	15	7
ENSDARG00000098612	241	392	194	364	261	292	193	268	74
ENSDARG00000100898	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	5720	6294	5800	6828	5476	6052	5906	5745	4771
ENSDARG00000111388	655	692	713	868	589	652	881	716	624
ENSDARG00000025601	0	0	9	5	4	10	15	0	2
ENSDARG00000063672	1312	1262	1447	1987	1391	1403	1927	1366	1348
ENSDARG00000018149	906	754	700	1118	891	1011	1140	650	633
ENSDARG00000095920	17	5	9	12	13	13	16	14	1
ENSDARG00000045886	13503	9781	11482	13239	11588	12205	11394	10712	10781
ENSDARG00000045885	1057	1090	1163	1278	950	972	1320	1128	1080
ENSDARG00000007413	1767	1592	1710	1925	1531	1380	1752	1705	1405
ENSDARG00000097341	104	120	83	127	83	80	164	87	152
ENSDARG00000045880	159	142	142	188	145	111	149	161	91
ENSDARG00000009657	724	667	791	835	580	669	965	740	862
ENSDARG00000093658	521	453	545	565	439	432	546	503	492
ENSDARG00000026839	243	197	228	267	222	204	292	227	295
ENSDARG00000016979	986	833	894	1023	678	828	1142	792	1002
ENSDARG00000070477	537	530	566	737	470	481	647	557	675
ENSDARG00000045878	1222	1256	1298	1562	1171	1132	1403	1181	1246
ENSDARG00000045877	2209	2279	2397	2865	1983	1959	2919	2349	2853
ENSDARG00000079391	264	249	288	299	210	235	365	278	306
ENSDARG00000015921	366	437	495	650	364	421	550	465	513
ENSDARG00000099520	42	44	31	48	32	35	48	23	57
ENSDARG00000061544	259	277	197	274	238	215	236	248	136
ENSDARG00000020812	0	3	5	0	0	3	6	0	2
ENSDARG00000094007	0	0	1	1	1	0	1	1	3
ENSDARG00000093685	0	0	0	0	0	0	0	0	0
ENSDARG00000059196	1	2	1	2	3	0	2	3	2
ENSDARG00000009262	614	570	527	686	464	486	469	526	340
ENSDARG00000018618	5347	4888	5097	6041	4784	4456	5789	4981	5108
ENSDARG00000045874	459	580	685	661	548	531	786	585	713
ENSDARG00000057468	610	651	678	749	652	610	693	693	626
ENSDARG00000045873	60	54	60	66	47	44	69	58	38
ENSDARG00000079143	488	423	424	603	410	398	545	434	374
ENSDARG00000057714	8	7	9	15	10	19	25	5	8
ENSDARG00000045224	12	12	18	11	15	31	40	9	15
ENSDARG00000011246	226	248	259	278	241	223	390	295	304
ENSDARG00000053709	4	6	2	3	8	5	1	2	3
ENSDARG00000099129	157	213	198	199	169	165	178	206	161
ENSDARG00000101813	5493	4938	5128	6740	4580	4371	6533	5164	4981
ENSDARG00000039724	107	84	63	153	93	100	140	116	51
ENSDARG00000070441	1365	1367	1266	1576	1216	1242	1277	1425	1034
ENSDARG00000011961	588	616	572	619	558	468	757	616	620
ENSDARG00000008986	47	68	68	69	69	48	71	51	72
ENSDARG00000008235	509	591	552	585	493	566	625	541	586
ENSDARG00000107595	0	0	0	0	0	0	0	0	0
ENSDARG00000004592	1527	1887	1974	2069	1698	1658	2243	1854	2033
ENSDARG00000006567	136	124	173	200	149	128	198	157	218
ENSDARG00000016231	260	338	275	309	283	310	245	295	202
ENSDARG00000016749	591	791	890	721	715	592	689	812	557
ENSDARG00000004227	468	480	368	491	375	394	378	479	280
ENSDARG00000006038	600	662	755	759	558	602	880	725	870
ENSDARG00000045870	2749	2824	2802	3186	2390	2338	3166	2767	2515
ENSDARG00000098551	383	484	408	471	391	419	424	477	305
ENSDARG00000060248	481	488	539	394	380	377	616	495	625
ENSDARG00000017757	828	1033	1018	839	913	974	1076	1018	912
ENSDARG00000030598	1570	1813	1830	1891	1635	1621	1680	1733	1368
ENSDARG00000077356	221	220	205	261	194	200	152	190	182
ENSDARG00000097907	105	245	227	178	238	161	151	260	162
ENSDARG00000089860	219	203	180	243	199	165	189	200	154
ENSDARG00000097073	14	10	7	10	24	4	7	4	11
ENSDARG00000039843	188	253	251	276	216	201	315	281	230
ENSDARG00000077654	1897	1600	1825	1743	1465	1282	2049	1699	1646
ENSDARG00000112842	0	1	0	0	1	1	0	0	0
ENSDARG00000070414	0	0	1	0	0	0	0	0	0
ENSDARG00000033296	962	1256	1224	1618	1121	1117	1402	1430	1003
ENSDARG00000006283	988	889	1049	1074	866	806	1098	895	1004
ENSDARG00000045864	137	163	177	127	192	147	87	128	173
ENSDARG00000045863	101	141	168	110	126	102	91	83	142
ENSDARG00000093470	0	0	0	0	0	0	0	0	0
ENSDARG00000105162	179	153	147	165	118	104	160	120	220
ENSDARG00000107526	66	68	76	80	42	82	88	67	76
ENSDARG00000016691	3189	2567	2502	3355	1691	2382	3176	2454	3186
ENSDARG00000101363	1991	1518	1574	1756	1475	1326	1692	1698	1433
ENSDARG00000095042	0	0	0	0	0	0	0	0	0
ENSDARG00000100963	0	0	0	1	2	1	0	0	0
ENSDARG00000115613	1	0	0	1	1	1	1	3	0
ENSDARG00000059043	3	2	2	7	5	5	7	6	1
ENSDARG00000075281	1276	1238	1314	1523	1144	1082	1388	1273	1152
ENSDARG00000023766	3725	3810	4173	4326	3686	3469	4745	3935	4248
ENSDARG00000097286	105	127	140	180	147	100	132	115	138
ENSDARG00000039356	209	195	227	252	227	232	224	212	226
ENSDARG00000059064	53	67	46	56	46	45	71	58	64
ENSDARG00000099725	1	0	3	0	0	1	0	0	0
ENSDARG00000090401	17	13	15	14	6	12	23	11	9
ENSDARG00000063578	2319	2828	2840	3038	2406	2330	3109	2882	2490
