Geneid	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q4_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W3_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q1_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W2_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W1_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q2_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W5_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/Q5_ss.fq.gz_ssAligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/2_alignedData/bam/W4_ss.fq.gz_ssAligned.sortedByCoord.out.bam
ENSDARG00000102141	140	113	119	116	105	138	113	108	138
ENSDARG00000102123	385	308	349	350	388	345	316	340	410
ENSDARG00000114503	1922	1546	1365	1685	1784	1950	1492	1573	1918
ENSDARG00000115971	38	52	40	26	24	40	16	41	42
ENSDARG00000098311	250	318	265	278	346	259	211	280	321
ENSDARG00000104839	1166	968	874	969	1036	850	959	1011	1182
ENSDARG00000100143	934	855	698	851	882	797	754	836	944
ENSDARG00000102474	708	639	572	601	649	677	522	618	715
ENSDARG00000104049	2776	2346	2189	2385	2456	2652	2230	2305	2916
ENSDARG00000102226	802	742	659	676	676	823	582	711	747
ENSDARG00000103095	3786	3057	2607	3044	3443	3275	2592	3128	3551
ENSDARG00000102128	939	710	707	802	936	842	767	807	991
ENSDARG00000110470	829	702	562	647	807	769	634	673	841
ENSDARG00000100422	1395	1255	1049	1283	1312	954	1221	1362	1588
ENSDARG00000104632	321	279	252	313	315	278	269	276	413
ENSDARG00000100660	249	179	177	216	230	172	169	203	263
ENSDARG00000113107	25	42	40	28	33	12	36	39	48
ENSDARG00000099787	25	27	19	22	22	19	22	34	31
ENSDARG00000112451	6	2	1	5	2	2	3	5	1
ENSDARG00000070546	17	0	7	16	7	32	9	6	13
ENSDARG00000045914	4812	3577	3187	3779	3887	4407	3357	3965	4623
ENSDARG00000045913	631	459	408	416	527	596	394	458	562
ENSDARG00000045911	1426	1449	1343	1378	1329	1049	1306	1400	1705
ENSDARG00000045910	2194	1764	1534	1926	1916	1993	1610	1808	2171
ENSDARG00000045909	378	288	254	231	338	260	271	278	379
ENSDARG00000025073	7802	5661	5253	5627	6065	7204	4754	5645	6380
ENSDARG00000084828	0	0	0	0	0	0	0	0	0
ENSDARG00000095951	1	1	0	0	1	0	0	0	0
ENSDARG00000093924	19	17	20	23	11	13	10	6	21
ENSDARG00000108269	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	101	125	99	206	127	103	110	86	140
ENSDARG00000099652	2295	2194	1881	2135	2247	2023	1936	2034	2692
ENSDARG00000101047	992	814	787	778	916	1068	736	851	1012
ENSDARG00000102104	3	5	2	1	1	6	1	1	2
ENSDARG00000099833	844	750	659	630	785	874	626	674	845
ENSDARG00000103870	25	9	28	20	18	17	17	22	25
ENSDARG00000096118	345	403	389	230	412	419	352	366	528
ENSDARG00000045900	1383	1119	1112	1241	1281	1094	1207	1219	1336
ENSDARG00000016968	1964	1706	1544	1673	1799	1924	1574	1679	2019
ENSDARG00000102878	4026	4152	3468	3632	4018	4164	3542	3668	4709
ENSDARG00000059311	7559	5859	5456	6032	6068	6593	5657	6448	7012
ENSDARG00000017386	137	212	172	136	145	108	159	170	209
ENSDARG00000045898	96	17	21	20	23	33	21	48	27
ENSDARG00000006060	567	401	644	592	577	397	772	662	759
ENSDARG00000113105	0	0	0	0	0	0	0	0	0
ENSDARG00000103050	57	26	50	62	50	42	73	53	69
ENSDARG00000070535	14	7	2	6	6	8	7	4	6
ENSDARG00000013789	25	6	28	13	17	7	13	14	19
ENSDARG00000063686	189	165	127	176	174	187	147	158	204
ENSDARG00000087962	732	574	550	587	670	699	564	572	699
ENSDARG00000099313	393	357	318	339	430	408	308	333	298
ENSDARG00000103102	9	8	5	5	7	10	7	2	13
ENSDARG00000104018	7381	5866	5217	5556	6317	6691	4948	5662	7376
ENSDARG00000102157	6	7	5	6	6	2	5	10	2
ENSDARG00000098612	178	222	274	218	174	69	238	368	335
ENSDARG00000100898	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	5074	4680	4926	4458	4483	3753	4494	5000	6008
ENSDARG00000111388	536	411	416	477	443	382	394	450	569
ENSDARG00000025601	12	0	10	0	7	1	3	0	2
ENSDARG00000063672	1833	1242	1258	1296	1326	1255	1306	1192	1964
ENSDARG00000018149	1102	860	948	605	636	602	822	711	1099
ENSDARG00000095920	12	4	9	8	5	1	10	5	8
ENSDARG00000045886	9259	11150	10109	8744	9174	8692	9742	8022	11194
ENSDARG00000045885	1205	1012	898	1035	1038	964	917	984	1212
ENSDARG00000007413	1684	1675	1346	1615	1616	1365	1476	1499	1894
ENSDARG00000097341	90	64	50	63	55	94	41	62	86
ENSDARG00000045880	133	125	98	130	126	82	115	121	164
ENSDARG00000009657	864	657	608	654	692	775	546	576	787
ENSDARG00000093658	500	475	406	455	496	435	411	411	538
ENSDARG00000026839	263	219	163	196	201	261	206	172	242
ENSDARG00000016979	592	575	440	409	474	544	388	424	598
ENSDARG00000070477	563	479	437	480	505	574	387	470	649
ENSDARG00000045878	1216	1009	923	1020	1106	1089	1019	1032	1368
ENSDARG00000045877	2419	1845	1643	1875	1933	2342	1645	1821	2434
ENSDARG00000079391	337	233	197	245	264	269	182	221	252
ENSDARG00000015921	524	340	399	421	441	467	372	395	611
ENSDARG00000099520	1	0	2	4	1	5	0	1	7
ENSDARG00000061544	164	178	159	173	139	95	169	212	214
ENSDARG00000020812	4	1	3	2	4	2	1	2	0
ENSDARG00000094007	0	0	0	1	0	0	0	0	0
ENSDARG00000093685	0	0	0	0	0	0	0	0	0
ENSDARG00000059196	0	0	0	0	0	0	0	0	1
ENSDARG00000009262	368	463	370	408	434	245	344	425	531
ENSDARG00000018618	5138	4763	3672	4083	4245	4229	3994	4073	5453
ENSDARG00000045874	794	456	488	551	627	726	554	562	660
ENSDARG00000057468	497	462	487	505	544	422	531	521	642
ENSDARG00000045873	50	48	31	40	40	31	38	38	48
ENSDARG00000079143	411	343	295	333	330	266	295	299	479
ENSDARG00000057714	27	9	17	6	9	9	7	6	13
ENSDARG00000045224	21	7	22	4	12	6	12	7	17
ENSDARG00000011246	370	204	200	262	233	266	238	219	263
ENSDARG00000053709	3	3	1	2	3	3	3	4	3
ENSDARG00000099129	136	117	141	158	118	109	131	145	150
ENSDARG00000101813	5646	4821	3716	4347	4292	4089	3957	4216	5874
ENSDARG00000039724	82	52	60	59	39	27	50	42	88
ENSDARG00000070441	1129	1191	1062	1230	1063	851	1092	1186	1419
ENSDARG00000011961	821	688	626	708	695	732	661	731	683
ENSDARG00000008986	68	37	45	46	61	63	62	63	67
ENSDARG00000008235	525	431	466	442	447	462	428	496	485
ENSDARG00000107595	0	0	0	0	0	0	0	0	0
ENSDARG00000004592	2233	1527	1630	1814	1927	1958	1685	1807	2059
ENSDARG00000006567	170	128	92	143	143	196	125	102	178
ENSDARG00000016231	179	202	229	232	196	148	214	221	269
ENSDARG00000016749	608	569	562	735	780	514	652	717	687
ENSDARG00000004227	390	469	400	465	389	304	370	473	554
ENSDARG00000006038	833	576	574	687	728	805	559	605	759
ENSDARG00000045870	2931	2566	2155	2508	2581	2276	2197	2564	3053
ENSDARG00000098551	343	358	365	405	355	266	338	430	435
ENSDARG00000060248	592	470	364	439	494	590	365	465	385
ENSDARG00000017757	931	764	862	929	900	837	836	908	780
ENSDARG00000030598	1470	1415	1441	1482	1604	1200	1465	1616	1752
ENSDARG00000077356	129	171	147	152	150	151	145	143	206
ENSDARG00000097907	82	46	90	138	135	104	122	133	102
ENSDARG00000089860	153	172	129	152	154	116	189	161	193
ENSDARG00000097073	2	1	2	2	1	1	8	4	2
ENSDARG00000039843	278	188	188	260	248	214	221	234	283
ENSDARG00000077654	1754	1678	1110	1485	1572	1411	1322	1397	1598
ENSDARG00000112842	0	0	0	0	0	0	1	0	0
ENSDARG00000070414	0	0	0	0	1	0	0	0	0
ENSDARG00000033296	1209	824	1003	1220	1035	872	1017	1091	1476
ENSDARG00000006283	994	922	797	803	975	995	828	859	1028
ENSDARG00000045864	74	119	130	107	142	130	173	131	117
ENSDARG00000045863	76	81	75	67	124	118	110	103	86
ENSDARG00000093470	0	0	0	0	0	0	0	0	0
ENSDARG00000105162	108	139	83	70	116	160	97	124	134
ENSDARG00000107526	64	36	46	41	49	50	24	49	35
ENSDARG00000016691	2843	2801	2070	2203	2140	2806	1504	2230	3047
ENSDARG00000101363	1451	1889	1103	1409	1325	1231	1315	1268	1727
ENSDARG00000095042	0	0	0	0	0	0	0	0	0
ENSDARG00000100963	0	0	0	0	0	0	0	0	0
