Geneid	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/W3Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/Q5Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/W1Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/W4Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/W5Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/Q1Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/Q4Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/W2Aligned.sortedByCoord.out.bam	/fast/users/a1647910/20190122_Q96K97_NoStress_RNASeq/4_filteredData/bam/Q2Aligned.sortedByCoord.out.bam
ENSDARG00000102141	143	118	119	143	102	119	161	129	157
ENSDARG00000102123	673	700	756	752	661	608	883	706	772
ENSDARG00000114503	1616	1600	1832	1881	1506	1386	2064	1803	2045
ENSDARG00000115971	163	126	122	93	91	121	152	131	81
ENSDARG00000098311	342	364	487	403	130	333	293	387	354
ENSDARG00000104839	1159	1218	1244	1344	1107	996	1376	1182	999
ENSDARG00000100143	876	846	935	907	717	686	987	895	809
ENSDARG00000102474	601	594	661	690	457	562	685	604	692
ENSDARG00000104049	4099	3859	4314	4776	3809	3540	4842	4182	4680
ENSDARG00000102226	311	304	234	379	295	371	445	384	467
ENSDARG00000103095	3034	3127	3502	3441	2572	2611	3892	3109	3270
ENSDARG00000102128	747	894	1019	906	751	725	1009	902	897
ENSDARG00000110470	872	899	1024	1050	770	750	1054	885	1004
ENSDARG00000100422	1350	1511	1425	1694	1157	1189	1559	1449	1091
ENSDARG00000104632	276	313	325	356	282	288	331	322	300
ENSDARG00000100660	221	251	282	260	193	171	318	283	207
ENSDARG00000113107	35	42	40	53	28	39	28	32	18
ENSDARG00000099787	89	99	118	126	90	72	131	100	91
ENSDARG00000112451	4	8	5	5	6	9	11	10	8
ENSDARG00000070546	2	9	9	21	11	9	3	22	28
ENSDARG00000045914	3793	4400	4223	4724	3636	3362	5104	4347	4787
ENSDARG00000045913	510	471	579	591	396	451	681	469	654
ENSDARG00000045911	1539	1505	1452	1656	1400	1370	1460	1487	1098
ENSDARG00000045910	1701	1700	1858	1364	1585	1487	2138	1950	1947
ENSDARG00000045909	121	336	181	178	121	123	164	121	95
ENSDARG00000025073	5789	5856	6269	6407	4839	5356	8000	5963	7445
ENSDARG00000084828	3	1	1	2	0	3	0	4	3
ENSDARG00000095951	1	0	1	0	0	0	2	0	0
