zfID;zfName;Human_gene_name;ID;Entrez
ENSDARG00000063344;fam162a;FAM162B;ENSG00000183807;   221303
ENSDARG00000097685;si:ch211-235i11.3;NA;NA;NA
ENSDARG00000036008;caly;CALY;ENSG00000130643;    50632
ENSDARG00000069301;tmem177;TMEM177;ENSG00000144120;    80775
ENSDARG00000104901;ostc;OSTC;ENSG00000198856;    58505
ENSDARG00000031836;vps37c;VPS37C;ENSG00000167987;    55048
ENSDARG00000103391;rab9b;RAB9B;ENSG00000123570;    51209
ENSDARG00000030463;tppp3;TPPP3;ENSG00000159713;    51673
ENSDARG00000103031;znf1029;NA;NA;NA
ENSDARG00000070447;slc39a9;SLC39A9;ENSG00000029364;    55334
ENSDARG00000080018;kif16bb;NA;NA;NA
ENSDARG00000036109;mtx1b;MTX1;ENSG00000173171;     4580
ENSDARG00000029612;gpkow;GPKOW;ENSG00000068394;    27238
ENSDARG00000075759;samd4a;SAMD4A;ENSG00000020577;    23034
ENSDARG00000068484;CABZ01100185.1;NA;NA;NA
ENSDARG00000057635;wdr34;WDR34;ENSG00000119333;    89891
ENSDARG00000032737;gria3a;GRIA3;ENSG00000125675;     2892
ENSDARG00000053517;si:dkey-1f12.3;AL121768.1;ENSG00000165521;   161436
ENSDARG00000111826;zgc:174354;NA;NA;NA
ENSDARG00000098335;BX537137.2;NA;NA;NA
ENSDARG00000092715;CR847503.1;NA;NA;NA
ENSDARG00000095834;AL954317.1;NA;NA;NA
ENSDARG00000015793;creb3l1;CREB3L1;ENSG00000157613;    90993
ENSDARG00000044573;cdc42;CDC42;ENSG00000070831;      998
ENSDARG00000025206;syt2a;SYT2;ENSG00000143858;   127833
ENSDARG00000042189;tspan33b;NA;NA;NA
ENSDARG00000076270;adamts13;ADAMTS13;ENSG00000160323;    11093
ENSDARG00000045415;gnal;NA;NA;NA
ENSDARG00000100099;si:dkey-238o14.1;NA;NA;NA
ENSDARG00000087916;tmem240a;TMEM240;ENSG00000205090;   339453
ENSDARG00000023058;foxo3a;FOXO6;ENSG00000204060;100132074
ENSDARG00000100738;osmr;LIFR;ENSG00000113594;     3977
ENSDARG00000097888;BX293559.1;NA;NA;NA
ENSDARG00000067711;parvg;PARVG;ENSG00000138964;    64098
ENSDARG00000091834;si:ch211-198m17.1;NA;NA;NA
ENSDARG00000068468;dnah3;DNAH3;ENSG00000158486;    55567
ENSDARG00000101806;or104-1;NA;NA;NA
ENSDARG00000105445;CR769769.2;NA;NA;NA
ENSDARG00000078805;ap5b1;AP5B1;ENSG00000254470;    91056
ENSDARG00000058893;nhej1;NHEJ1;ENSG00000187736;    79840
ENSDARG00000088881;si:dkeyp-69b9.3;MYOCD;ENSG00000141052;    93649
ENSDARG00000095893;si:dkey-85n7.7;NA;NA;NA
ENSDARG00000062376;nlgn3b;CES1;ENSG00000198848;     1066
ENSDARG00000062376;nlgn3b;CES4A;ENSG00000172824;   283848
ENSDARG00000062376;nlgn3b;CES5A;ENSG00000159398;   221223
ENSDARG00000062376;nlgn3b;CES2;ENSG00000172831;     8824
ENSDARG00000039490;pitpnaa;PITPNA;ENSG00000174238;     5306
ENSDARG00000020986;ctu1;CTU1;ENSG00000142544;    90353
ENSDARG00000098626;nitr12;TRAV21;ENSG00000211801;NA
ENSDARG00000098626;nitr12;TRAV10;ENSG00000211784;NA
ENSDARG00000098626;nitr12;TRAV4;ENSG00000211778;NA
ENSDARG00000098626;nitr12;TRAV26-1;ENSG00000211807;NA
